created_at,timestamp,static_updated_at,position_updated_at,mmsi,latitude,longitude,speed,course,heading,imo,name,call_sign,flag,draught,ship_type_code,ship_type,length,width,eta,destination,status,collection_type
2024-01-01 00:00:00.216 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:57:45 UTC,2024-01-01 00:00:00 UTC,311001272,5.2663633333333335,4.4562733333333329,0.1,253.1,302,9938482,SONANGOL KULUMBIMBI ,C6GK6  ,BS,9.4,80,Tanker,274,48,2023-12-27 07:00:00 UTC,NGERT               ,0,terrestrial
2024-01-01 00:00:02.264 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:57:05 UTC,2024-01-01 00:00:00 UTC,701006147,-38.035745,-57.526486666666663,0.2,11.2,511,8910964,DON FRANCISCO 1@@@@@,LW 4975,AR,4,30,Fishing Vessel,132,29,2023-02-04 12:00:00 UTC,ZONA DE PESCA@@@@@@@,3,terrestrial
2024-01-01 00:00:00.692 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:58:02 UTC,2024-01-01 00:00:00 UTC,538006484,6.4292399999999992,3.3910150000000003,0,360,511,8809921,FRONT PUFFIN@@@@@@@@,V7NO6 @,MH,10,99,Other,235,43,2023-03-16 11:00:00 UTC, NAVY BOAT 5NM CPA @,1,terrestrial
2024-01-01 00:00:01.426 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:56:32 UTC,2024-01-01 00:00:00 UTC,770576165,-34.899575,-56.199663333333334,0,0,511,0,SEA LIGHT           ,CXBR   ,UY,1.5,50,Special Craft,14,5,,@@@@@@@@@@@@@@@@@@@@,0,terrestrial
2024-01-01 00:00:00.609 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:55:09 UTC,2024-01-01 00:00:00 UTC,657215673,6.333966666666667,3.45133,7.5,138.7,142,9801641,JO HAM 1            ,5OGLV  ,NG,2.8,40,High-Speed Craft,33,8,2023-08-23 16:40:00 UTC,@@@@@@@@@@@@@@@@@@@@,8,terrestrial
2024-01-01 00:00:01.831 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:58:07 UTC,2024-01-01 00:00:00 UTC,701006056,-38.033938333333339,-57.53007,0,0.5,511,8614326,NAVEGANTES II@@@@@@@,LW2857@,AR,3.8,30,Fishing Vessel,67,10,2023-04-04 13:00:00 UTC,PTO MAR DEL PLATA@@@,0,terrestrial
2024-01-01 00:00:02.932 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:59:42 UTC,2024-01-01 00:00:00 UTC,701019000,-38.048465,-57.536341666666665,0,168.1,511,9112961,CENTAURO 2000  @@@@@,LW 9780,AR,0,0,Other,37,9,2023-11-21 05:30:00 UTC,@@@@@@@@@@@@@@@@@@@@,15,terrestrial
2024-01-01 00:00:03.975 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:57:43 UTC,2024-01-01 00:00:00 UTC,770576231,-34.596398333333333,-58.364338333333329,0.1,355.5,166,9119385,SILVIA ANA L        ,CXQZ   ,UY,2.6,40,High-Speed Craft,0,0,2023-04-13 00:30:00 UTC,BS COL BS           ,0,terrestrial
2024-01-01 00:00:02.832 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:59:17 UTC,2024-01-01 00:00:00 UTC,701000676,-34.630448333333334,-58.351643333333328,0,194.1,511,6915570,YAKTEMI@@@@@@@@@@@@@,LW8733 ,AR,3,53,Special Craft,54,11,,@@@@@@@@@@@@@@@@@@@@,0,terrestrial
2024-01-01 00:00:03.424 UTC,2024-01-01 00:00:00 UTC,2023-12-31 23:58:13 UTC,2024-01-01 00:00:00 UTC,671019300,5.5999133333333333,0.036303333333333333,0.8,173.2,511,9055711,-DETERMINATION@@@@@@,5VDN6@@,TG,4,84,Tanker,432,0,2023-12-19 20:00:00 UTC,TEMA@@@@@@@@@@@@@@@@,0,terrestrial
